ID,Q4,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q7A,Q7B,Q7C
A1,3,3,networking,interpersonal relationships,3,networking,networking,4,entrepreneurship,opportunity
A2,3,6,academic mindset,course selection,5,many people go to grad school,opportunity ,7,entrepreneurship,perseverance
A3,0,6,passion,networking,6,opportunity,opportunity ,6,growth mindset,goal setting
A4,1,5,planning,perseverance,7,research,networking,7,time management,time managment
A5,2,6,interpersonal relationships,perseverance,5,passion ,goal setting,6,perseverance,time managment
A6,3,6,academic mindset,academic mindset,,research,research,7,no matter what focuse on you,networking
A7,2,7,planning,interpersonal relationships,7,interpersonal relationships,perseverance,7,time management,interpersonal relationships
A8,1,6,interpersonal relationships,,7,research,,7,research,
B1,2,7,perseverance,academic mindset,6,research,,7,financial aid,time managment
B2,2,6,planning,research,5,,networking,7,goal setting,interpersonal relationships
B3,2,7,growth mindset,entrepreneurship,7,,course selection,6,time management,planning
B4,2,5,academic mindset,career services,5,networking,networking,5,networking,career services
B5,3,7,time managment ,perseverance,7,research,benefits,7,goal setting,growth mindset
B6,3,5,study skills,time management,6,interpersonal relationships,opportunity ,6,time management,time managment
B7,2,4,research,entrepreneurship,7,research,graduate applications,3,time management,perseverance
C1,3,6,entrepreneurship,networking,5,research,perseverance,6,resources,planning
C2,3,6,passion,time management,7,research,opportunity ,5,planning,growth mindset
C3,3,5,growth mindset,course selection,6,research,,5,growth mindset,interpersonal relationships
C4,3,6,growth mindset,course selection,4,financial aid,financial aid,5,interpersonal relationships,
C5,1,6,research,course selection,7,financial aid,research,7,time management,time managment
C6,2,7,goal setting,course selection,4,,,6,time management,interpersonal relationships
C7,2,7,time managment ,perseverance,6,financial aid,goal setting,6,interpersonal relationships,goal setting
D1,2,5,time managment ,,7,passion,graduate applications,7,planning,manage
